family_size	count	fraction	fraction_gt_or_eq_family_size
979	1	3.09729E-8	0.000028
985	1	3.09729E-8	0.000028
986	2	6.19457E-8	0.000028
989	1	3.09729E-8	0.000028
994	1	3.09729E-8	0.000028
997	1	3.09729E-8	0.000028
998	1	3.09729E-8	0.000028
999	1	3.09729E-8	0.000028
1001	1	3.09729E-8	0.000028
1002	1	3.09729E-8	0.000028
1003	1	3.09729E-8	0.000028
1004	1	3.09729E-8	0.000027
1006	1	3.09729E-8	0.000027
1008	2	6.19457E-8	0.000027
1009	1	3.09729E-8	0.000027
1012	1	3.09729E-8	0.000027
1017	1	3.09729E-8	0.000027
1018	1	3.09729E-8	0.000027
1019	1	3.09729E-8	0.000027
1023	2	6.19457E-8	0.000027
1026	1	3.09729E-8	0.000027
1029	1	3.09729E-8	0.000027
1031	2	6.19457E-8	0.000027
1032	1	3.09729E-8	0.000027
1033	1	3.09729E-8	0.000027
1037	1	3.09729E-8	0.000027
1038	1	3.09729E-8	0.000027
1039	1	3.09729E-8	0.000027
1041	1	3.09729E-8	0.000027
1044	1	3.09729E-8	0.000027
1045	2	6.19457E-8	0.000027
1049	1	3.09729E-8	0.000027
1050	1	3.09729E-8	0.000027
1051	1	3.09729E-8	0.000027
1052	1	3.09729E-8	0.000027
1056	1	3.09729E-8	0.000027
1059	1	3.09729E-8	0.000027
1060	1	3.09729E-8	0.000027
1062	1	3.09729E-8	0.000027
1064	1	3.09729E-8	0.000026
1066	1	3.09729E-8	0.000026
1068	1	3.09729E-8	0.000026
1071	2	6.19457E-8	0.000026
1072	1	3.09729E-8	0.000026
1073	3	9.29186E-8	0.000026
1074	1	3.09729E-8	0.000026
1075	1	3.09729E-8	0.000026
1080	2	6.19457E-8	0.000026
1081	2	6.19457E-8	0.000026
1085	2	6.19457E-8	0.000026
1088	2	6.19457E-8	0.000026
1089	3	9.29186E-8	0.000026
1091	1	3.09729E-8	0.000026
1093	2	6.19457E-8	0.000026
1094	1	3.09729E-8	0.000026
1095	1	3.09729E-8	0.000026
1097	1	3.09729E-8	0.000026
1098	1	3.09729E-8	0.000026
1099	2	6.19457E-8	0.000026
1100	1	3.09729E-8	0.000026
1102	1	3.09729E-8	0.000025
1105	1	3.09729E-8	0.000025
1109	1	3.09729E-8	0.000025
1111	1	3.09729E-8	0.000025
1112	1	3.09729E-8	0.000025
1114	2	6.19457E-8	0.000025
1116	1	3.09729E-8	0.000025
1119	1	3.09729E-8	0.000025
1123	1	3.09729E-8	0.000025
1124	1	3.09729E-8	0.000025
1125	1	3.09729E-8	0.000025
1127	1	3.09729E-8	0.000025
1130	3	9.29186E-8	0.000025
1132	2	6.19457E-8	0.000025
1135	1	3.09729E-8	0.000025
1136	1	3.09729E-8	0.000025
1140	4	1.23891E-7	0.000025
1146	1	3.09729E-8	0.000025
1147	3	9.29186E-8	0.000025
1148	1	3.09729E-8	0.000025
1150	2	6.19457E-8	0.000025
1152	1	3.09729E-8	0.000025
1154	1	3.09729E-8	0.000024
1156	1	3.09729E-8	0.000024
1158	1	3.09729E-8	0.000024
1162	1	3.09729E-8	0.000024
1163	1	3.09729E-8	0.000024
1168	1	3.09729E-8	0.000024
1171	2	6.19457E-8	0.000024
1172	1	3.09729E-8	0.000024
1173	2	6.19457E-8	0.000024
1175	1	3.09729E-8	0.000024
